mcule_id	smiles	insoluble
M760404	CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1	0
M760416	IC1=CC=C(NC2=CC(=O)CCC2)C=C1	0
M1051481	O=C(N(CC1=CC=CC=C1)C1=CC=CC=N1)C12CC3CC(CC(C3)C1)C2	0
M1051482	CCOC1=CC=C(C=C(C#N)C2=NN=C3CCCCCN23)C=C1	0
M760441	CC(=O)NC1=CC=C(C=C1)C(O)(C(F)(F)F)C(F)(F)F	0
M760449	O=C1CSC(N1C1=CC=CC=C1)C1=CC=CS1	0
M1114789	O=S(=O)(CC(SC#N)C1=CC=CC=C1)C1=CC=CC=C1	0
M1051483	COCCNC(=O)COC1=CC=CC(OCCC(C)C)=C1	0
M1051484	CC1CC(NC2=CC=CC=C2)C2=CC=CC=C2N1C(=O)C1=CC=C(Cl)C=C1	0
M760469	O=C1NN=C(N2CCCCCC2)C(=O)N1	0
M1051486	COC1=CC=CC(NC(=O)NC(=O)N(C(C)C)S(C)(=O)=O)=C1	0
M766175	ClC1=CC=CC(NC(=O)NCC2=CN3C=CSC3=N2)=C1	0
M760511	CC(C)OC(=O)C1=C(C)NC2=C(C1C1=CC=CC=C1F)C(=O)NC(=S)N2	0
M760522	CN(C(=O)NC(=O)NC1=CC=C(Cl)C=C1)S(C)(=O)=O	0
M1051488	CC(C)N(C(=O)NC(=O)NC1=CC=CC=C1)S(C)(=O)=O	0
M1051489	CN1C2=C(C=CC=C2)N=C1C1=CC=C(Br)C=C1	0
M1114790	ClC(Cl)(Cl)C(NC(=O)C1=CC=CC=C1)N1C=NC=N1	0
M1114791	CN1C(=O)NC(C2=CC=CC=C2Cl)C2=C1CC(C)(C)CC2=O	0
M1051490	CCCCN(C(=O)NC(=O)NC(C)C1=CC=CC=C1)S(C)(=O)=O	0
M760574	CCCCCN(C(=O)NC(=O)NC1C2CC3CC(C2)CC1C3)S(C)(=O)=O	0
M1114792	CC1=CC(C=C(C)N1C1=CC=C(Cl)C=C1)=C(C#N)C#N	0
M1051491	FC1=CC=C(C=C(C(=O)C2=CC=CC=C2)C2=NC3=C(N2)C=CC=C3)C=C1	0
M1114793	CN1C=CC=CC1=C(C#N)C1=NC2=C(S1)C=CC=C2	0
